district,tahsil,gp_name,ps,gp,sample,Hperf_final,Hperf1_final,Hperf2_final,Hperf3_final,Hperf4_final,Hperf5_final,actionplan_nbprojects2009,actionplan_gpbudget2009,web_hh_employed2009,web_persondays_sc2009,web_persondays_st2009,web_persondays_total2009,web_persondays_women2009,web_hh_employed2010,web_persondays_sc2010,web_persondays_st2010,web_persondays_total2010,web_persondays_women2010,web_exp_unskilled2010,web_exp_skilled2010,web_exp_mat2010,web_exp_adm_tot2010,web_exp_tot2010,web_hh_employed2011,web_persondays_sc2011,web_persondays_st2011,web_persondays_total2011,web_persondays_women2011,web_authorisation2011,web_exp_unskilled2011,web_exp_skilled2011,web_exp_mat2011,web_exp_tax2011,web_exp_adm_tot2011,web_exp_tot2011,web_hh_employed2012,web_persondays_sc2012,web_persondays_st2012,web_persondays_total2012,web_persondays_women2012,web_authorisation2012,web_exp_unskilled2012,web_exp_skilled2012,web_exp_mat2012,web_exp_tax2012,web_exp_adm_tot2012,web_exp_tot2012,web_hh_employed2013,web_persondays_sc2013,web_persondays_st2013,web_persondays_total2013,web_persondays_women2013,web_authorisation2013,web_exp_unskilled2013,web_exp_skilled2013,web_exp_mat2013,web_exp_tax2013,web_exp_adm_tot2013,web_exp_tot2013,web_averagewage2009,web_averagewage2010,web_exp_labor2009,web_exp_material2009,web_exp_admin2009,web_exp_tot2009,web_frac_womendays2009,web_frac_scst2009,web_delay_total2009,web_delay_num_mrolls,web_delay_amtpaid,web_delay_perc,census_tot_pop,census_frac_scst,census_literacy,census_unemployment,census_agri,census_marginal
"Bharatpur","Bayana","GURDHA NADI","BAYANA","GURDHA NADI",0,6,3.29,57,45,18,38,3.688879,5.678157,373,6536,66,14.832,8680,317,3910,86,7.554,4853,6.38828,.60132,4.232329,.1415567,6.9896,90,1075,13,1.704,974,0,1.5,.92,4.79,.1273846,.21951368,7.22,152,2119,37,5.453,3809,0,6.23,.29,5.13,.146875,.12094972,11.65,82,362,1111.341772,1.389,1044,0,1.73,.08,.02,.2792,.10882353,1.83,82.5,84.57,9.91,0,0,9.91,.5852212,.4451187,6,4.33333,.5276666,9.617,3997,.3525144,.5846885,.5734301,.7560117,.31261
"Bharatpur","Bayana","HARNAGAR","BAYANA","HERNAGAR",0,5,3.16,51,57,20,39,3.610918,5.117994,167,4401,0,5.901,3171,208,6617,4075.910112,9.702,6578,7.93749,.27061,4.232329,.1415567,8.2081,160,2592,3295.589744,4,2735,0,6.12,.84,3.4,.1273846,.21951368,10.36,107,4210,3432.054762,5.602,4303,0,5.87,.25,3.28,.146875,.12094972,9.4,124,1740,1111.341772,2.262,1723,0,2.79,.11,3.827044,.2792,.10882353,2.89,80.11,96.86,4.67,1.73,0,6.4,.5373666,.7458058,2,9.33333,.9116667,13.47533,3777,.3772836,.6483982,.6274821,.695096,.3233831
"Bharatpur","Bayana","JAISORA","BAYANA","JAISORA",1,3,3.58,100,45,25,41,3.663562,5.42693,364,3235,0,13.72,6134,319,3008,4075.910112,13.95,8137,10.26887,.67079,.77,.1415567,11.70966,262,2466,3295.589744,10.734,6653,0,11.69,2.43,10.61,.1273846,.21951368,24.72,224,1796,3432.054762,7.304,4525,0,6.52,.2,3.79,.146875,.12094972,10.51,49,319,1111.341772,.637,515,0,.42,.02,10.01,.2792,.10882353,10.46,61.56,75.18,11.93,6.42,0,18.35,.4470845,.2357872,12,11.3333,1.106333,11.967,4432,.1112365,.4444946,.5135379,.9647495,.4220779
"Bharatpur","Bayana","JASPURA MOROLI","BAYANA","JASPURA MOROLI",1,10,4.1,100,29,10,35,3.912023,5.198497,740,5111,0,31.272,16528,330,4908,4075.910112,12.095,8236,10.20553,2.37289,6.41169,.1415567,18.99011,329,3261,3295.589744,9.957,6731,0,10.48,3.95,27.89,.1273846,.21951368,42.33,95,464,3432.054762,2.166,1634,0,2.2,.11,2.57,.146875,.12094972,4.87,137,1607,1111.341772,4.227,3492,0,4.35,.2,3.827044,.2792,.10882353,4.55,78.86,88.55,23.61,31.48,0,55.09,.5285239,.1634369,2,1,.1113333,3.823,4931,.2133441,.5179477,.5542486,.7784349,.3207461
"Bharatpur","Bayana","KAIR","BAYANA","KAIR",0,5,3.33,55,55,20,38,4.077538,5.689007,428,9062,7,14.748,8370,145,2068,4075.910112,3.207,1959,2.71743,.04589,.4372,.1415567,3.20052,241,6400,3295.589744,7.93,4746,0,7.77,1.59,6.08,.1273846,.21951368,15.44,103,776,3432.054762,2.351,1174,0,2.4,.11,3.02,.146875,.12094972,5.53,0,1244.070981,1111.341772,4.122764706,2353.311663,0,4.135314,.2709792,.02,.2792,.10882353,.02,84.69,85.28,12.08,3.6,0,15.68,.5675346,.6149308,5,2.33333,.206,2.652,6493,.3232712,.5328816,.5453565,.6754742,.3936314
"Bharatpur","Bayana","KALSARA","BAYANA","KALSADA",0,6,3.51,57,45,17,37,3.465736,5.609472,441,1310,11,11.408,5295,26,295,4075.910112,.544,357,.48088,.35686,2.25944,.1415567,3.09718,121,561,3295.589744,2.056,1163,0,2.17,1.07,4.73,.1273846,.21951368,7.97,85,194,3432.054762,1.729,997,0,1.77,.22,2.81,.01,.12094972,4.82,0,1244.070981,1111.341772,4.122764706,2353.311663,0,4.135314,.2709792,3.827044,.2792,.10882353,6.0092332,100,116.15,12.01,26.33,0,38.34,.464148,.1157959,3,6,.3656667,17.49533,4146,.1295224,.581042,.5178486,.7733867,.3526763
"Bharatpur","Bayana","KAPOORA MALOOKA","BAYANA","KAPURAMALUKA",0,6,3.35,58,45,16,38,4.204693,6.697034,354,1375,0,16.323,10931,175,542,4075.910112,4.087,2235,2.60625,.12046,4.232329,.1415567,2.72671,259,911,3295.589744,9.228,5995,0,9.71,1.11,2.31,.1273846,.21951368,13.13,387,712,3432.054762,12.355,8707,0,9.92,.55,3.33,.146875,.12094972,13.8,190,217,1111.341772,3.535,2476,0,4.09,.14,.34,.2792,.10882353,4.57,61.61,64.83,15.5,16.12,0,31.62,.6696686,.084237,5,4,.254,2.615333,4368,.0766941,.4910714,.540293,.9731076,.1538845
"Bharatpur","Bayana","KARWARI","BAYANA","KARWARI",0,5,3.15,56,51,18,38,3.89182,5.50289,531,4300,0,15.112,8692,203,1772,4075.910112,6.175,3611,3.71397,.27938,4.232329,.1415567,3.99335,169,1042,3295.589744,3.06,1241,0,3.09,1.4,6.91,.1273846,.21951368,11.4,275,1626,3432.054762,9.304,6023,0,9.57,.4,1.7,.146875,.12094972,11.67,119,116,1111.341772,2.627,1706,0,2.9,.1,1.01,.2792,.10882353,4.01,58.25,67.32,9.72,15.39,0,25.11,.5751721,.2845421,9,6.66667,.8373334,7.554,4823,.201327,.468588,.5237404,.9003047,.3125816
"Bharatpur","Bayana","KANAWAR","BAYANA","KENAWAR",1,6,3.13,100,38,10,35,3.89182,5.974319,443,4946,0,12.824,6154,261,2467,4075.910112,6.229,3322,5.63552,.65595,4.232329,.1415567,6.29147,252,4563,3295.589744,9.301,6014,0,9.82,2,13.25,.1273846,.21951368,25.07,362,6027,3432.054762,12.054,7561,0,14.15,.74,4.11,.146875,.12094972,19,212,1580,1111.341772,4.107,2447,0,5.32,.23,3.827044,.2792,.10882353,5.55,90.06,93.09,10.8,7.57,0,18.37,.4798815,.3856831,5,.333333,.0256667,.2626667,5299,.3225137,.571806,.6001132,.8173667,.4572912
"Bharatpur","Bayana","KHARERI","BAYANA","KHAIRERI",0,5,3.12,54,46,16,39,3.73767,5.688669,316,3055,0,6.109,4476,325,5697,4075.910112,8.277,6509,5.95777,.43011,4.232329,.1415567,6.38788,224,2826,3295.589744,5.173,4073,0,4.61,.8,2.48,.01,.21951368,7.91,132,1595,3432.054762,2.594,2242,0,2.37,.11,3.17,.04,.12094972,5.69,0,1244.070981,1111.341772,4.122764706,2353.311663,0,4.135314,.2709792,3.827044,.2792,.10882353,6.0092332,58.15,72.81,3.48,1.13,0,4.61,.7326895,.5000818,3,6.33333,.581,21.89733,4909,.4184152,.5989,.5461397,.8460503,.029623
